date,Mark Bertolini (CEO of Aetna)
2004-01-01,0
2004-02-01,62
2004-03-01,0
2004-04-01,0
2004-05-01,0
2004-06-01,0
2004-07-01,0
2004-08-01,0
2004-09-01,0
2004-10-01,0
2004-11-01,0
2004-12-01,0
2005-01-01,0
2005-02-01,0
2005-03-01,0
2005-04-01,0
2005-05-01,0
2005-06-01,0
2005-07-01,0
2005-08-01,0
2005-09-01,0
2005-10-01,0
2005-11-01,0
2005-12-01,0
2006-01-01,24
2006-02-01,25
2006-03-01,0
2006-04-01,0
2006-05-01,21
2006-06-01,0
2006-07-01,0
2006-08-01,0
2006-09-01,0
2006-10-01,0
2006-11-01,0
2006-12-01,0
2007-01-01,16
2007-02-01,16
2007-03-01,15
2007-04-01,15
2007-05-01,0
2007-06-01,0
2007-07-01,26
2007-08-01,50
2007-09-01,12
2007-10-01,11
2007-11-01,21
2007-12-01,11
2008-01-01,10
2008-02-01,0
2008-03-01,19
2008-04-01,0
2008-05-01,9
2008-06-01,0
2008-07-01,0
2008-08-01,0
2008-09-01,26
2008-10-01,0
2008-11-01,16
2008-12-01,8
2009-01-01,15
2009-02-01,16
2009-03-01,14
2009-04-01,7
2009-05-01,7
2009-06-01,34
2009-07-01,0
2009-08-01,14
2009-09-01,0
2009-10-01,6
2009-11-01,6
2009-12-01,6
2010-01-01,17
2010-02-01,6
2010-03-01,0
2010-04-01,0
2010-05-01,6
2010-06-01,6
2010-07-01,0
2010-08-01,10
2010-09-01,0
2010-10-01,18
2010-11-01,27
2010-12-01,14
2011-01-01,12
2011-02-01,43
2011-03-01,24
2011-04-01,13
2011-05-01,36
2011-06-01,12
2011-07-01,12
2011-08-01,27
2011-09-01,26
2011-10-01,11
2011-11-01,14
2011-12-01,14
2012-01-01,23
2012-02-01,37
2012-03-01,28
2012-04-01,10
2012-05-01,9
2012-06-01,32
2012-07-01,31
2012-08-01,74
2012-09-01,43
2012-10-01,30
2012-11-01,63
2012-12-01,25
2013-01-01,31
2013-02-01,43
2013-03-01,18
2013-04-01,44
2013-05-01,22
2013-06-01,23
2013-07-01,15
2013-08-01,25
2013-09-01,24
2013-10-01,45
2013-11-01,23
2013-12-01,12
2014-01-01,40
2014-02-01,51
2014-03-01,24
2014-04-01,16
2014-05-01,41
2014-06-01,23
2014-07-01,25
2014-08-01,29
2014-09-01,21
2014-10-01,18
2014-11-01,23
2014-12-01,11
2015-01-01,17
2015-02-01,48
2015-03-01,69
2015-04-01,41
2015-05-01,46
2015-06-01,30
2015-07-01,72
2015-08-01,27
2015-09-01,38
2015-10-01,23
2015-11-01,55
2015-12-01,26
2016-01-01,16
2016-02-01,38
2016-03-01,47
2016-04-01,38
2016-05-01,40
2016-06-01,23
2016-07-01,26
2016-08-01,94
2016-09-01,41
2016-10-01,64
2016-11-01,45
2016-12-01,26
2017-01-01,43
2017-02-01,43
2017-03-01,31
2017-04-01,23
2017-05-01,46
2017-06-01,36
2017-07-01,40
2017-08-01,42
2017-09-01,24
2017-10-01,47
2017-11-01,34
2017-12-01,100
2018-01-01,41
2018-02-01,44
2018-03-01,30
2018-04-01,25
2018-05-01,19
2018-06-01,29
2018-07-01,21
2018-08-01,19
2018-09-01,28
2018-10-01,49
2018-11-01,18
2018-12-01,16
2019-01-01,29
2019-02-01,35
2019-03-01,29
2019-04-01,28
2019-05-01,34
2019-06-01,35
2019-07-01,17
2019-08-01,10
2019-09-01,20
2019-10-01,16
2019-11-01,20
2019-12-01,5
2020-01-01,14
2020-02-01,57
2020-03-01,22
2020-04-01,11
2020-05-01,7
2020-06-01,3
2020-07-01,13
2020-08-01,6
2020-09-01,12
2020-10-01,6
2020-11-01,12
2020-12-01,8
2021-01-01,8
2021-02-01,13
2021-03-01,7
2021-04-01,5
2021-05-01,8
2021-06-01,9
2021-07-01,5
2021-08-01,3
2021-09-01,7
2021-10-01,7
2021-11-01,5
2021-12-01,5
2022-01-01,15
2022-02-01,15
